dataset,technique,K,pred_len,mse_mean,mse_std,mae_mean,mae_std,n
ETTh1,decomposition,,96,0.058226743092139564,0.0015938338287559714,0.18510988354682922,0.002324705563929092,3
ETTh1,decomposition,,192,0.07788249105215073,0.0008597779272193989,0.21555205682913461,0.0010908081154477616,3
ETTh1,decomposition,,336,0.0916467656691869,0.0020587307335608505,0.239728644490242,0.002511688611578955,3
ETTh1,decomposition,,720,0.08565616607666016,0.004061335348325042,0.23092064261436462,0.005694614452549165,3
ETTh1,discretization,,96,0.060188605139652886,0.00033758629514486364,0.18930787841478983,0.002334334621427899,3
ETTh1,discretization,,192,0.0782817155122757,0.0017341891404464636,0.21892017126083374,0.004003142169857383,3
ETTh1,discretization,,336,0.09132746607065201,0.0020013131817606723,0.23901485900084177,0.0035752546953362802,3
ETTh1,discretization,,720,0.10155582179625829,0.0031953969987993758,0.25191040337085724,0.003757296237971651,3
ETTh1,foundation,,96,0.05678591504693031,0.0005283651563562113,0.18233105540275574,0.000518071881221641,3
ETTh1,foundation,,192,0.07506876935561498,0.0009265595394854504,0.21022968490918478,0.0020131133859243207,3
ETTh1,foundation,,336,0.08575057983398438,0.0013756324049244751,0.22971952458222708,0.002772590774278626,3
ETTh1,foundation,,720,0.09407325088977814,0.001892119604280297,0.2411170800526937,0.0023689257232745063,3
ETTh1,hmm_soft,8.0,96,0.05961913118759791,0.0017699406672911317,0.1881257245937983,0.002880899467285871,3
ETTh1,hmm_soft,8.0,192,0.07825339337189992,0.0036565179524592015,0.21944856643676758,0.0049591743176447805,3
ETTh1,hmm_soft,8.0,336,0.09245762477318446,0.001147780394460283,0.2409063478310903,0.002503817680071594,3
ETTh1,hmm_soft,8.0,720,0.09942032396793365,0.0032117519775142385,0.24834900597731271,0.003972230968667518,3
ETTh1,patching,,96,0.05662005891402563,0.0005892698460335106,0.18187309801578522,0.0004280926681331952,3
ETTh1,patching,,192,0.0750838244954745,0.0008238095932768555,0.2101089209318161,0.0019364997421962011,3
ETTh1,patching,,336,0.0856497511267662,0.0012357689760664876,0.22969304025173187,0.0024281719724549324,3
ETTh1,patching,,720,0.09342508018016815,0.0014585264641591442,0.24038157860438028,0.001861800291522352,3
ETTh1,text_based,,96,0.05969082439939181,0.00028519239768784037,0.18686855336030325,0.00028809238304726214,3
ETTh1,text_based,,192,0.07735259334246318,0.0014876207411335415,0.21615931888421377,0.0031152655401664696,3
ETTh1,text_based,,336,0.09321503341197968,0.0013627752798171728,0.24119470516840616,0.002850136042742975,3
ETTh1,text_based,,720,0.09704354653755824,0.006928870299626044,0.24697322646776834,0.00791230181007697,3
ETTh2,decomposition,,96,0.14904663463433585,0.009213281717038651,0.2994642953077952,0.010455587751140935,3
ETTh2,decomposition,,192,0.19767657419045767,0.004567066866540356,0.34939170877138775,0.0006194477742052378,3
ETTh2,decomposition,,336,0.22219029565652212,0.007850111805192109,0.3762315313021342,0.007031764093055399,3
ETTh2,decomposition,,720,0.23850861688454947,0.002042417975422254,0.3912661373615265,0.002025133707777335,3
ETTh2,discretization,,96,0.15500032901763916,0.0014994190325293513,0.30784332752227783,0.0012785481260670954,3
ETTh2,discretization,,192,0.19921661416689554,0.004477969711661767,0.35433321197827655,0.005306608474011504,3
ETTh2,discretization,,336,0.22386605044205984,0.0040285106109337705,0.3803282082080841,0.003573375180894561,3
ETTh2,discretization,,720,0.26607183118661243,0.03283139161398452,0.40814973910649616,0.02280434801710896,3
ETTh2,foundation,,96,0.14557458460330963,0.005655329104786325,0.2955419321854909,0.0073830605483723106,3
ETTh2,foundation,,192,0.20177133878072104,0.007350675003646866,0.3578532338142395,0.008373251282032132,3
ETTh2,foundation,,336,0.22238463163375854,0.009625112926663095,0.37818973263104755,0.009904284154263483,3
ETTh2,foundation,,720,0.23974795639514923,0.02538684617812837,0.39166468381881714,0.019578071990667332,3
ETTh2,hmm_soft,9.0,96,0.14549418787161508,0.008633556561971581,0.2950440247853597,0.00883029147737734,3
ETTh2,hmm_soft,9.0,192,0.20039879779020944,0.013058186710022705,0.3541984756787618,0.014020395482704631,3
ETTh2,hmm_soft,9.0,336,0.23088328540325165,0.0032020209872758213,0.3855150242646535,0.004498530701848787,3
ETTh2,hmm_soft,9.0,720,0.22939137121041617,0.006634863547530181,0.3846274216969808,0.00365972972269436,3
ETTh2,patching,,96,0.1448575754960378,0.005710005179811868,0.2945910394191742,0.007441166491132025,3
ETTh2,patching,,192,0.2006478856007258,0.006160768726615976,0.35657312472661334,0.007162050630776018,3
ETTh2,patching,,336,0.22246827681859335,0.01028742643973408,0.3782204290231069,0.010607019858863144,3
ETTh2,patching,,720,0.23829934994379678,0.023953282082935123,0.39071247975031537,0.018695263535042014,3
ETTh2,text_based,,96,0.14439828197161356,0.0048715179294089635,0.2950793306032817,0.006331540026296517,3
ETTh2,text_based,,192,0.1972108781337738,0.011880177656661356,0.3518589834372203,0.013102434674926089,3
ETTh2,text_based,,336,0.2278626412153244,0.0034758624279879425,0.38283713658650714,0.002837442704871615,3
ETTh2,text_based,,720,0.24099071323871613,0.0158543077314491,0.3945540686448415,0.012815313510898168,3
Weather,decomposition,,96,0.0012916534906253219,1.602949353076184e-05,0.02643928366402785,0.00011179378614282857,3
Weather,decomposition,,192,0.0015621681232005358,5.908522484026719e-05,0.02942317600051562,0.0006728454487701189,3
Weather,decomposition,,336,0.0016568258482341964,8.634201392140921e-05,0.030488856757680576,0.0008986569914453143,3
Weather,decomposition,,720,0.002160452694321672,0.0001170900621049118,0.035109334935744606,0.0013001613060717146,3
Weather,discretization,,96,0.0015029811765998602,6.034001523999829e-05,0.028020889808734257,0.0002972483557233466,3
Weather,discretization,,192,0.0017550056800246239,0.0001194096346163533,0.030693773180246353,0.0009201397952469896,3
Weather,discretization,,336,0.0019118453686436017,0.00017717430552380436,0.03228789195418358,0.0013249191918496286,3
Weather,discretization,,720,0.002249480069925388,0.00016080721655865489,0.03523417065540949,0.0011512866143942445,3
Weather,foundation,,96,0.0013010441325604916,3.4360840671462446e-05,0.026276035234332085,0.0006829156868702235,3
Weather,foundation,,192,0.0015909765691806872,3.992357365643022e-05,0.02953617957731088,0.0001359865591706776,3
Weather,foundation,,336,0.0016452481892580788,4.0659740586995475e-05,0.03034322460492452,0.00039910389432560017,3
Weather,foundation,,720,0.0021442849344263473,5.040999713268128e-05,0.03503729154666265,0.00047922204458991527,3
Weather,hmm_soft_residual,4.0,96,0.0012433428782969713,2.783333478508526e-05,0.02590058371424675,0.0002683711756776581,3
Weather,hmm_soft_residual,4.0,192,0.0014890646561980247,6.755610867640098e-05,0.02851778455078602,0.0008744782210767386,3
Weather,hmm_soft_residual,4.0,336,0.0016588501166552305,4.0823825964798176e-05,0.030204180007179577,0.00048401131026684093,3
Weather,hmm_soft_residual,4.0,720,0.0021400988722840943,9.070656509827202e-05,0.034921503315369286,0.0010222499016511052,3
Weather,patching,,96,0.0013287529194106658,3.549641847484611e-05,0.02642094778517882,0.0004676185611878348,3
Weather,patching,,192,0.0015736691420897841,3.766755736146623e-05,0.02955073614915212,0.0004087686839000161,3
Weather,patching,,336,0.0016153131534035008,4.643074157378573e-06,0.030008557563026745,5.776082130167482e-05,3
Weather,patching,,720,0.0020977623450259366,0.00011102377636559865,0.03433627511064211,0.0013936329728897147,3
Weather,text_based,,96,0.0012925892369821668,3.0594649777047644e-05,0.02658332884311676,0.00035214753555297645,3
Weather,text_based,,192,0.0015256686601787806,3.339314135663863e-05,0.029151147852341335,0.0003536130012199245,3
Weather,text_based,,336,0.0016723988810554147,8.365546610444872e-06,0.030783287559946377,0.00013391932166263994,3
Weather,text_based,,720,0.002123212208971381,3.081718026071705e-05,0.03479833652575811,0.0003557423582302528,3
custom,decomposition,,96,0.30263473590215045,0.006504698671821413,0.39655718207359314,0.006491258436789242,3
custom,decomposition,,192,0.3233437140782674,0.008043092044792552,0.40472205479939777,0.008076064829936077,3
custom,decomposition,,336,0.3887638250986735,0.03209230380209365,0.44666383663813275,0.021048858954414083,3
custom,decomposition,,720,0.41422877709070843,0.011348474397628573,0.47364022334416706,0.007419341929077535,3
custom,discretization,,96,0.3149162232875824,0.004298487574472708,0.4004761874675751,0.0022699837159592348,3
custom,discretization,,192,0.33240975936253864,0.009717083789458587,0.4091525177160899,0.006874785743220524,3
custom,discretization,,336,0.3797045449415843,0.006065929673372149,0.442631075779597,0.002388115437896311,3
custom,discretization,,720,0.43978198369344074,0.009223474081506148,0.49213995536168414,0.006590353021787593,3
custom,foundation,,96,0.30781735976537067,0.011697710918447006,0.39853236079216003,0.007226276072243026,3
custom,foundation,,192,0.33293216427167255,0.009736131399267118,0.40829646587371826,0.004506037833469566,3
custom,foundation,,336,0.38785867889722186,0.006022250326899304,0.4437715808550517,0.006660220291169136,3
custom,foundation,,720,0.47950172424316406,0.013745014652941335,0.5078015327453613,0.00545240179465478,3
custom,hmm_soft_residual,3.0,96,0.3100244204203288,0.006158951121309826,0.398146112759908,0.006144853129202362,3
custom,hmm_soft_residual,3.0,192,0.3322417736053467,0.008543747562797306,0.4061674475669861,0.005183846197057769,3
custom,hmm_soft_residual,3.0,336,0.38088621695836383,0.010854046907884801,0.44233248631159466,0.007534456847765963,3
custom,hmm_soft_residual,3.0,720,0.45329029361406964,0.013618333199428529,0.4977055887381236,0.008098229065178993,3
custom,patching,,96,0.30203933517138165,0.005291972861785681,0.39556243022282916,0.004776213913694997,3
custom,patching,,192,0.3300613860289256,0.007618749877154046,0.406012495358785,0.003649584152274967,3
custom,patching,,336,0.38620052735010785,0.005111821081142383,0.4425930182139079,0.005500760781876729,3
custom,patching,,720,0.47649946808815,0.013191080005527983,0.5061698158582052,0.007035051085432495,3
custom,text_based,,96,0.33085023363431293,0.00890626628703212,0.412969430287679,0.0031589546878256383,3
custom,text_based,,192,0.35377540191014606,0.00553425607778041,0.426045686006546,0.005679110440489266,3
custom,text_based,,336,0.4136166572570801,0.008176030189965698,0.46231962243715924,0.004418158150831169,3
custom,text_based,,720,0.4941984713077545,0.02809152085289422,0.523261288801829,0.0200311038004346,3
