dataset,seed,technique,compression_ratio,mse_reconstruction,acf_retention,vocabulary_entropy,bigram_entropy,token_persistence,top_k_coverage
ETTh1,42,discretization,1.0,0.1281109857587937,0.9996964948904733,0.9989196985278342,0.8119837502442186,2.086452547693794,0.6532407407407408
ETTh1,42,text_based,0.09519192631439778,3.99969516006859e-05,0.9999999821144617,,,,
ETTh1,42,patching,16.0,6.339806560432625e-16,0.9999999999999988,,,,
ETTh1,42,decomposition,4320.0,4.083606504829248e-34,1.0,,,,
ETTh1,42,foundation,16.0,0.31133133563337945,0.9985423301219049,,,,
ETTh1,42,hmm,1.0,0.04497644035325711,0.9997518081484092,0.9794366691648713,0.7453352631095846,3.171806167400881,0.7298611111111111
ETTh1,2021,discretization,1.0,0.1281109857587937,0.9996964948904733,0.9989196985278342,0.8119837502442186,2.086452547693794,0.6532407407407408
ETTh1,2021,text_based,0.09519192631439778,3.99969516006859e-05,0.9999999821144617,,,,
ETTh1,2021,patching,16.0,6.339806560432625e-16,0.9999999999999988,,,,
ETTh1,2021,decomposition,4320.0,4.083606504829248e-34,1.0,,,,
ETTh1,2021,foundation,16.0,0.3117710827506168,0.9991595099900051,,,,
ETTh1,2021,hmm,1.0,0.044975993373732696,0.9997514674058336,0.9794846739449787,0.7453561618327613,3.171806167400881,0.7293981481481482
ETTh1,7,discretization,1.0,0.1281109857587937,0.9996964948904733,0.9989196985278342,0.8119837502442186,2.086452547693794,0.6532407407407408
ETTh1,7,text_based,0.09519192631439778,3.99969516006859e-05,0.9999999821144617,,,,
ETTh1,7,patching,16.0,6.339806560432625e-16,0.9999999999999988,,,,
ETTh1,7,decomposition,4320.0,4.083606504829248e-34,1.0,,,,
ETTh1,7,foundation,16.0,0.3000662338941206,0.999315976148869,,,,
ETTh1,7,hmm,1.0,0.04497704879751175,0.9997505192854035,0.9794755443605787,0.7453511096598787,3.171806167400881,0.7293981481481482
