dataset,seed,technique,noise,mse_change_rel,acf_change_rel,baseline_mse,baseline_acf
ETTh1,42,discretization,0.1,0.024215505778194632,-0.00014947339244147408,0.11276485646480049,0.9995071909601504
ETTh1,42,discretization,0.5,-0.1464635422137082,-0.00023629249109814645,0.11276485646480049,0.9995071909601504
ETTh1,42,text_based,0.1,-0.027789286679688583,-2.6821946457301272e-08,3.99558186938859e-05,0.9999999235308042
ETTh1,42,text_based,0.5,0.04316134048618054,-5.419166234189615e-08,3.99558186938859e-05,0.9999999235308042
ETTh1,42,patching,0.1,0.021006967810333288,1.480297366166878e-16,6.380100522792242e-16,0.9999999999999983
ETTh1,42,patching,0.5,0.2792299922255587,6.66133814775095e-16,6.380100522792242e-16,0.9999999999999983
ETTh1,42,decomposition,0.1,-0.1883202579955567,-7.401486830834377e-17,5.14575917334542e-34,1.0
ETTh1,42,decomposition,0.5,-0.04830880782108967,0.0,5.14575917334542e-34,1.0
ETTh1,42,foundation,0.1,0.01125271570368931,0.0003093825053071771,0.30396570654568933,0.9923270028274832
ETTh1,42,foundation,0.5,0.28296944481896597,0.00046728855691152054,0.30396570654568933,0.9923270028274832
ETTh1,42,hmm,0.1,0.06767761852374186,-5.5081791584216175e-05,0.0488051315789629,0.9996141108586862
ETTh1,42,hmm,0.5,0.9346252893513497,-0.001057550911509291,0.0488051315789629,0.9996141108586862
ETTh1,2021,discretization,0.1,0.025786890928272077,-5.269284475219103e-05,0.11276485646480049,0.9995071909601504
ETTh1,2021,discretization,0.5,-0.15387391090684946,-0.00023645055392714637,0.11276485646480049,0.9995071909601504
ETTh1,2021,text_based,0.1,-9.334316446141071e-05,1.5121430931323858e-08,3.99558186938859e-05,0.9999999235308042
ETTh1,2021,text_based,0.5,0.012626632932117977,-3.954838407573865e-08,3.99558186938859e-05,0.9999999235308042
ETTh1,2021,patching,0.1,-0.004871416892238338,3.700743415417185e-17,6.380100522792242e-16,0.9999999999999983
ETTh1,2021,patching,0.5,0.3001831589556412,3.7007434154171945e-16,6.380100522792242e-16,0.9999999999999983
ETTh1,2021,decomposition,0.1,-0.089876959978679,0.0,5.14575917334542e-34,1.0
ETTh1,2021,decomposition,0.5,-0.10623999255456645,-7.401486830834377e-17,5.14575917334542e-34,1.0
ETTh1,2021,foundation,0.1,0.004920992403826505,3.76894211053325e-05,0.33259655036952795,0.9988308157082866
ETTh1,2021,foundation,0.5,0.2305247908223472,0.00044778195035340265,0.33259655036952795,0.9988308157082866
ETTh1,2021,hmm,0.1,0.04049777355360757,-0.0001033314207511034,0.04880143423131429,0.9996322255991174
ETTh1,2021,hmm,0.5,0.9806970440491828,-0.0015160928396620538,0.04880143423131429,0.9996322255991174
ETTh1,7,discretization,0.1,0.01691256874544241,-3.2994965667547067e-06,0.11276485646480049,0.9995071909601504
ETTh1,7,discretization,0.5,-0.1336889211735873,-6.393913411320493e-05,0.11276485646480049,0.9995071909601504
ETTh1,7,text_based,0.1,0.005651663711407159,-1.2558144004291085e-07,3.99558186938859e-05,0.9999999235308042
ETTh1,7,text_based,0.5,-0.02427631492130852,1.172155406886569e-08,3.99558186938859e-05,0.9999999235308042
