dataset,seed,technique,kind,value
ETTh1,42,discretization,edit,0.5225694444444444
ETTh1,42,hmm,edit,0.4895833333333333
ETTh1,42,patching,l2,1.9529749155044556
ETTh1,42,decomposition,l2,12.15862540257071
ETTh1,42,foundation,l2,1.9529749155044556
ETTh1,2021,discretization,edit,0.5341435185185185
ETTh1,2021,hmm,edit,0.4930555555555556
ETTh1,2021,patching,l2,1.9632090330123901
ETTh1,2021,decomposition,l2,12.372276908105704
ETTh1,2021,foundation,l2,1.9632090330123901
ETTh1,7,discretization,edit,0.5179398148148148
ETTh1,7,hmm,edit,0.49363425925925924
ETTh1,7,patching,l2,1.9487298727035522
ETTh1,7,decomposition,l2,12.173145887078896
ETTh1,7,foundation,l2,1.9487298727035522
ETTh2,42,discretization,edit,0.5063657407407407
ETTh2,42,hmm,edit,0.4693287037037037
ETTh2,42,patching,l2,1.9529749155044556
ETTh2,42,decomposition,l2,12.158625571752468
ETTh2,42,foundation,l2,1.9529749155044556
ETTh2,2021,discretization,edit,0.5225694444444444
ETTh2,2021,hmm,edit,0.49710648148148145
ETTh2,2021,patching,l2,1.9632089138031006
ETTh2,2021,decomposition,l2,12.37227703055924
ETTh2,2021,foundation,l2,1.9632089138031006
ETTh2,7,discretization,edit,0.5167824074074074
ETTh2,7,hmm,edit,0.47337962962962965
ETTh2,7,patching,l2,1.9487298727035522
ETTh2,7,decomposition,l2,12.173146150662944
ETTh2,7,foundation,l2,1.9487298727035522
Weather,42,discretization,edit,0.5322843190450353
Weather,42,hmm,edit,0.22002170374389582
Weather,42,patching,l2,1.9802789688110352
Weather,42,decomposition,l2,25.40211368532393
Weather,42,foundation,l2,1.9802789688110352
Weather,2021,discretization,edit,0.5326912642430819
Weather,2021,hmm,edit,0.23562126966901792
Weather,2021,patching,l2,1.9834082126617432
Weather,2021,decomposition,l2,25.51281815003262
Weather,2021,foundation,l2,1.9834082126617432
Weather,7,discretization,edit,0.5180412371134021
Weather,7,hmm,edit,0.22205642973412915
Weather,7,patching,l2,1.949179768562317
Weather,7,decomposition,l2,25.14402867102166
Weather,7,foundation,l2,1.949179768562317
Electricity,42,discretization,edit,0.5028633760567222
Electricity,42,hmm,edit,0.14289610035451322
Electricity,42,patching,l2,1.9670747518539429
Electricity,42,decomposition,l2,17.778446080260036
Electricity,42,foundation,l2,1.9670747518539429
Electricity,2021,discretization,edit,0.5124079629124625
Electricity,2021,hmm,edit,0.15789473684210525
Electricity,2021,patching,l2,1.961869478225708
Electricity,2021,decomposition,l2,17.869142572605295
Electricity,2021,foundation,l2,1.961869478225708
Electricity,7,discretization,edit,0.5140441778020179
Electricity,7,hmm,edit,0.16116716662121625
Electricity,7,patching,l2,1.962157130241394
Electricity,7,decomposition,l2,17.790305845485356
Electricity,7,foundation,l2,1.962157130241394
