dataset,technique,K,avg_mse,avg_mae,std_mse_avg,std_mae_avg
ETTh1,patching,,0.07769467867910862,0.21551415945092836,0.0010268437198839996,0.0016636411685766702
ETTh1,foundation,,0.07791962878157695,0.21584933623671532,0.0011806691762616085,0.0019181754411747736
ETTh1,decomposition,,0.07835304147253434,0.2178278068701426,0.0021434194594653153,0.0029054541858762437
ETTh1,text_based,,0.08182549942284822,0.22279895097017288,0.0025161146795661497,0.003541448944008419
ETTh1,hmm_soft,8.0,0.08243761832515398,0.22420741120974222,0.0024464977479312137,0.003579030608417441
ETTh1,discretization,,0.08283840212970972,0.22478832801183063,0.0018171214040378436,0.0034175069311483033
ETTh2,hmm_soft,9.0,0.20154191056887308,0.35484623660643894,0.007882156951700072,0.00775223684615628
ETTh2,patching,,0.20156827196478844,0.35502426822980243,0.011527870607274261,0.0109763751289533
ETTh2,decomposition,,0.20185553034146628,0.3540884181857109,0.005918219591048343,0.005032983331544727
ETTh2,foundation,,0.20236962785323462,0.35581239561239875,0.012004490803306164,0.011309666993833813
ETTh2,text_based,,0.20261562863985697,0.35608237981796265,0.00902046643637684,0.008771682729248097
ETTh2,discretization,,0.21103870620330173,0.36266362170378363,0.010709322742277351,0.008240719949520529
Weather,hmm_soft_residual,4.0,0.0016328391308585801,0.02988601289689541,5.672995863113911e-05,0.0006622776521680857
Weather,text_based,,0.0016534672467969358,0.030329025195290647,2.5792629501212048e-05,0.0002988555541664484
Weather,patching,,0.0016538743899824717,0.03007912915199995,4.720770658982239e-05,0.0005819452598198101
Weather,decomposition,,0.0016677750390954316,0.030365162839492164,6.963669859933751e-05,0.000745864383107494
Weather,foundation,,0.001670388456356401,0.030298182740807533,4.133853801189235e-05,0.00042430704623910414
Weather,discretization,,0.0018548280737983684,0.03155918139964342,0.0001294327929847027,0.0009233984893035523
custom,decomposition,,0.35724276304244995,0.43039582421382266,0.014497142229084048,0.010758881037554234
custom,discretization,,0.3667031278212865,0.43609993408123654,0.007326243779702398,0.004530809479715916
custom,hmm_soft_residual,3.0,0.36911067614952725,0.4360879088441531,0.009793769697855115,0.006740346309801272
custom,patching,,0.37370017915964127,0.4375844399134318,0.007803405956402523,0.005240402483319797
custom,foundation,,0.3770274817943573,0.43960048506657284,0.01030027682438869,0.005961233997884128
custom,text_based,,0.39811019102732337,0.4561490068833033,0.012677018351918111,0.008321831769895168
